City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
266,aral,40.5156,81.2636,40.12,10,27,3.74,CN,1689748610
267,singkil,-7.9855,111.4161,28.12,57,0,5.35,ID,1689748610
268,mount zion,39.7714,-88.8742,20.38,100,0,0.0,US,1689748610
269,colonia,50.9333,6.95,18.82,72,0,1.54,DE,1689748610
270,sorsk,54.0033,90.2467,23.4,48,71,3.01,RU,1689748397
271,dmitrovsk-orlovskiy,52.505,35.1464,18.42,57,6,7.35,RU,1689748610
272,tadine,-21.55,167.8833,20.35,87,100,2.58,NC,1689748610
273,tamandare,-8.7597,-35.1047,23.28,88,20,2.71,BR,1689748610
274,mamuju,-2.6748,118.8885,29.66,71,11,2.27,ID,1689748611
275,laojunmiao,39.8333,97.7333,24.19,31,44,5.46,CN,1689748611
276,inirida,3.8653,-67.9239,22.45,99,100,0.55,CO,1689748612
277,girardot city,4.2987,-74.8047,23.74,60,83,0.76,CO,1689748612
278,hakui,36.8833,136.7833,26.24,87,48,3.52,JP,1689748612
279,new norfolk,-42.7826,147.0587,8.73,72,15,1.02,AU,1689748612
280,san patricio,28.017,-97.5169,28.81,87,2,5.67,US,1689748612
281,rudsar,37.1376,50.288,22.99,80,99,0.99,IR,1689748612
282,gangolli,13.65,74.6667,26.83,84,100,7.87,IN,1689748612
283,nogliki,51.8333,143.1667,14.15,85,72,5.35,RU,1689748613
284,hithadhoo,-0.6,73.0833,27.77,77,29,4.18,MV,1689748613
285,porto novo,6.4965,2.6036,25.9,88,100,2.78,BJ,1689748613
286,mazagao,-0.115,-51.2894,26.03,98,25,1.26,BR,1689748613
287,conceicao da barra,-18.5933,-39.7322,19.18,96,25,1.2,BR,1689748613
288,rumphi,-11.0186,33.8575,22.29,40,49,2.85,MW,1689748613
289,arraial do cabo,-22.9661,-42.0278,20.67,91,100,7.83,BR,1689748613
290,abaete,-19.16,-45.4458,21.63,50,100,1.59,BR,1689748613
291,papao,-17.75,-149.55,26.82,82,25,10.68,PF,1689748614
292,burang,30.25,81.1667,18.76,51,46,1.75,CN,1689748614
293,puerto santa,-8.9906,-78.6456,20.36,84,98,3.75,PE,1689748614
294,vanimo,-2.6741,141.3028,28.41,78,98,3.5,PG,1689748614
295,smara,26.7384,-11.6719,23.42,70,11,4.08,EH,1689748614
296,den burg,53.0542,4.7972,16.99,85,100,3.6,NL,1689748614
297,punta arenas,-53.15,-70.9167,1.32,87,100,1.31,CL,1689748614
298,lagoa,39.05,-27.9833,19.87,69,90,0.96,PT,1689748615
299,batticaloa,7.7102,81.6924,34.59,44,65,5.83,LK,1689748615
300,minas de marcona,-15.2119,-75.1103,11.74,88,62,4.18,PE,1689748615
301,az zuwaytinah,30.9522,20.1202,28.3,65,0,6.7,LY,1689748615
302,salekhard,66.53,66.6019,26.85,41,32,4.18,RU,1689748615
303,antofagasta,-23.65,-70.4,15.6,75,35,0.86,CL,1689748463
304,narvik,68.4384,17.4272,12.99,96,100,1.4,NO,1689748615
305,yanykurgan,43.915,67.2481,32.36,21,100,4.84,KZ,1689748615
306,santa elena de uairen,4.6167,-61.1333,18.49,92,10,0.89,VE,1689748616
307,el calafate,-50.3408,-72.2768,-2.73,52,100,1.12,AR,1689748616
308,dudinka,69.4058,86.1778,15.96,47,52,3.99,RU,1689748616
309,gadzhiyevo,69.2551,33.3362,16.57,72,100,1.92,RU,1689748616
310,east london,-33.0153,27.9116,13.52,58,0,8.75,ZA,1689748616
311,erenhot,43.6475,111.9767,35.75,14,27,3.79,CN,1689748616
312,lihue,21.9789,-159.3672,26.77,74,75,10.8,US,1689748616
313,olonets,60.9847,32.9698,18.94,62,100,3.53,RU,1689748616
314,pisco,-13.7,-76.2167,15.57,82,16,1.03,PE,1689748616
315,nemuro,43.3236,145.575,15.26,92,100,2.33,JP,1689748617
316,maksatikha,57.797,35.8825,13.59,92,100,6.01,RU,1689748617
317,kapuskasing,49.4169,-82.4331,10.05,93,20,1.54,CA,1689748617
318,mohr,54.3528,9.7167,14.08,92,75,2.06,DE,1689748617
319,vilyuchinsk,52.9306,158.4028,23.15,79,97,2.73,RU,1689748617
320,menemen,38.6075,27.0694,31.65,36,0,3.09,TR,1689748617
321,polyarnyy,69.1989,33.4478,16.6,71,100,1.6,RU,1689748617
322,mandera,3.9366,41.867,29.58,43,32,9.8,KE,1689748619
323,mutoko,-17.397,32.2268,16.11,37,0,0.24,ZW,1689748619
324,karratha,-20.7377,116.8463,27.79,25,2,6.01,AU,1689748619
325,awjilah,29.1081,21.2869,30.0,35,0,7.07,LY,1689748619
326,nizhneangarsk,55.7833,109.55,15.13,54,96,1.76,RU,1689748619
327,khorramabad,33.4878,48.3558,30.79,11,0,0.0,IR,1689748619
328,derzhavinsk,51.1,66.3167,26.13,37,88,7.53,KZ,1689748619
329,metro,-5.1131,105.3067,28.72,71,26,3.95,ID,1689748619
330,banda aceh,5.5577,95.3222,27.39,78,100,6.66,ID,1689748620
331,pangkalanbuun,-2.6833,111.6167,27.86,84,75,2.65,ID,1689748620
332,nampula,-15.1165,39.2666,18.97,94,75,3.09,MZ,1689748620
333,melekeok village,7.4957,134.6367,31.31,70,75,6.69,PW,1689748620
334,coos bay,43.3665,-124.2179,15.52,94,40,8.75,US,1689748088
335,mili,6.0815,171.735,28.62,75,90,5.49,MH,1689748620
336,zelenoborskiy,66.845,32.3622,16.3,72,100,1.22,RU,1689748620
337,artesia,33.8658,-118.0831,27.38,78,0,3.09,US,1689748620
338,al muwayh,22.4333,41.7583,39.66,7,89,7.85,SA,1689748620
339,starotitarovskaya,45.2136,37.1439,27.26,66,81,3.55,RU,1689748621
340,broome,42.2506,-75.833,18.14,97,64,0.43,US,1689748621
341,puerto lempira,15.2667,-83.7667,26.28,87,100,4.38,HN,1689748621
342,corner brook,48.9667,-57.9484,22.09,95,98,1.73,CA,1689748462
343,san sebastian de la gomera,28.0916,-17.1133,23.2,78,20,1.03,ES,1689748623
344,sinjai,-5.1241,120.253,28.04,69,5,3.62,ID,1689748623
345,jaguarari,-10.2639,-40.1958,15.22,99,48,2.87,BR,1689748623
346,codajas,-3.8367,-62.0569,23.19,70,80,0.95,BR,1689748624
347,hasaki,35.7333,140.8333,31.22,82,27,11.66,JP,1689748624
348,badger,64.8,-147.5333,22.95,63,100,1.54,US,1689748624
349,luanda,-8.8368,13.2343,22.0,83,75,0.51,AO,1689748400
